,city,latitude,longitude,timepoint,main_weather,feels_like,humidity,wind_speed,precipitation,clouds,city_id
203,Paris,48.8588897,2.3200410217200766,1720731600,overcast clouds,21.04,67,3.33,0.0,96,28
204,Paris,48.8588897,2.3200410217200766,1720742400,light rain,18.21,89,0.29,1.47,83,28
205,Paris,48.8588897,2.3200410217200766,1720753200,light rain,15.75,94,2.8,2.52,95,28
206,Paris,48.8588897,2.3200410217200766,1720764000,light rain,15.22,94,2.8,0.34,98,28
207,Paris,48.8588897,2.3200410217200766,1720774800,overcast clouds,14.52,91,3.55,0.0,100,28
208,Paris,48.8588897,2.3200410217200766,1720785600,light rain,16.84,74,3.3,0.13,100,28
209,Paris,48.8588897,2.3200410217200766,1720796400,light rain,16.62,78,4.04,0.27,100,28
210,Paris,48.8588897,2.3200410217200766,1720807200,light rain,16.25,76,2.54,0.12,100,28
211,Paris,48.8588897,2.3200410217200766,1720818000,overcast clouds,15.19,82,1.45,0.0,99,28
212,Paris,48.8588897,2.3200410217200766,1720828800,overcast clouds,14.24,84,1.13,0.0,95,28
213,Paris,48.8588897,2.3200410217200766,1720839600,scattered clouds,12.98,86,0.74,0.0,45,28
214,Paris,48.8588897,2.3200410217200766,1720850400,scattered clouds,14.23,74,0.84,0.0,50,28
215,Paris,48.8588897,2.3200410217200766,1720861200,overcast clouds,16.2,65,0.08,0.0,99,28
216,Paris,48.8588897,2.3200410217200766,1720872000,light rain,21.12,48,0.55,0.12,84,28
217,Paris,48.8588897,2.3200410217200766,1720882800,light rain,22.68,39,2.45,0.13,41,28
218,Paris,48.8588897,2.3200410217200766,1720893600,light rain,19.38,63,1.69,0.73,54,28
219,Paris,48.8588897,2.3200410217200766,1720904400,light rain,17.08,78,1.4,0.36,18,28
220,Paris,48.8588897,2.3200410217200766,1720915200,few clouds,15.83,81,0.64,0.0,12,28
221,Paris,48.8588897,2.3200410217200766,1720926000,few clouds,14.47,86,1.1,0.0,17,28
222,Paris,48.8588897,2.3200410217200766,1720936800,clear sky,15.39,79,0.83,0.0,9,28
223,Paris,48.8588897,2.3200410217200766,1720947600,broken clouds,20.65,52,0.75,0.0,76,28
224,Paris,48.8588897,2.3200410217200766,1720958400,overcast clouds,21.75,45,0.92,0.0,88,28
225,Paris,48.8588897,2.3200410217200766,1720969200,overcast clouds,21.01,48,1.2,0.0,100,28
226,Paris,48.8588897,2.3200410217200766,1720980000,broken clouds,22.53,43,0.76,0.0,57,28
227,Paris,48.8588897,2.3200410217200766,1720990800,clear sky,19.03,62,0.42,0.0,0,28
228,Paris,48.8588897,2.3200410217200766,1721001600,clear sky,17.41,71,1.3,0.0,0,28
229,Paris,48.8588897,2.3200410217200766,1721012400,overcast clouds,16.13,79,1.47,0.0,90,28
230,Paris,48.8588897,2.3200410217200766,1721023200,overcast clouds,17.07,70,2.28,0.0,95,28
231,Paris,48.8588897,2.3200410217200766,1721034000,overcast clouds,22.06,54,1.73,0.0,100,28
232,Paris,48.8588897,2.3200410217200766,1721044800,moderate rain,18.7,90,0.29,3.48,100,28
233,Paris,48.8588897,2.3200410217200766,1721055600,light rain,21.67,76,2.52,0.72,93,28
234,Paris,48.8588897,2.3200410217200766,1721066400,light rain,17.99,90,3.88,1.68,88,28
235,Paris,48.8588897,2.3200410217200766,1721077200,scattered clouds,16.44,92,1.93,0.0,32,28
236,Paris,48.8588897,2.3200410217200766,1721088000,few clouds,15.54,93,2.04,0.0,21,28
237,Paris,48.8588897,2.3200410217200766,1721098800,clear sky,14.79,94,2.67,0.0,10,28
238,Paris,48.8588897,2.3200410217200766,1721109600,scattered clouds,15.21,88,3.6,0.0,38,28
239,Paris,48.8588897,2.3200410217200766,1721120400,broken clouds,16.85,76,3.84,0.0,79,28
240,Amiens,49.8941708,2.2956951,1720699200,broken clouds,20.6,57,2.44,0.0,69,3
241,Amiens,49.8941708,2.2956951,1720710000,broken clouds,20.84,56,2.74,0.0,61,3
242,Amiens,49.8941708,2.2956951,1720720800,broken clouds,19.13,65,3.73,0.0,69,3
243,Amiens,49.8941708,2.2956951,1720731600,overcast clouds,14.88,74,3.19,0.0,99,3
244,Amiens,49.8941708,2.2956951,1720742400,light rain,14.77,82,3.4,0.3,100,3
245,Amiens,49.8941708,2.2956951,1720753200,moderate rain,12.95,95,4.87,4.78,100,3
246,Amiens,49.8941708,2.2956951,1720764000,moderate rain,12.71,97,6.39,11.69,100,3
247,Amiens,49.8941708,2.2956951,1720774800,moderate rain,13.5,93,5.15,3.63,100,3
248,Amiens,49.8941708,2.2956951,1720785600,overcast clouds,14.35,88,4.63,0.0,100,3
249,Amiens,49.8941708,2.2956951,1720796400,overcast clouds,15.88,78,4.3,0.0,96,3
250,Amiens,49.8941708,2.2956951,1720807200,light rain,15.28,84,1.79,0.21,96,3
251,Amiens,49.8941708,2.2956951,1720818000,light rain,11.96,95,2.37,0.3,81,3
252,Amiens,49.8941708,2.2956951,1720828800,broken clouds,11.2,92,1.3,0.0,76,3
253,Amiens,49.8941708,2.2956951,1720839600,overcast clouds,11.94,89,1.02,0.0,99,3
254,Amiens,49.8941708,2.2956951,1720850400,broken clouds,13.07,87,1.43,0.0,74,3
